index, depot, invest, capacity 
1, 1.0, 333000, 300000 
2, 3.0, 333000, 300000 
3, 50.0, 333000, 300000 
4, 64.0, 333000, 300000 
5, 74.0, 333000, 300000 
6, 98.0, 333000, 300000 
7, 179.0, 333000, 300000 
8, 562.0, 333000, 300000 
9, 597.0, 333000, 300000 
10, 662.0, 333000, 300000 
11, 676.0, 333000, 300000 
12, 693.0, 333000, 300000 
13, 705.0, 333000, 300000 
14, 718.0, 333000, 300000 
15, 722.0, 333000, 300000 
16, 723.0, 333000, 300000 
17, 732.0, 333000, 300000 
18, 734.0, 333000, 300000 
19, 1296.0, 333000, 300000 
20, 1454.0, 333000, 300000 
21, 1456.0, 333000, 300000 
22, 1457.0, 333000, 300000 
23, 1460.0, 333000, 300000 
24, 1461.0, 333000, 300000 
25, 1474.0, 333000, 300000 
26, 1476.0, 333000, 300000 
27, 1483.0, 333000, 300000 
28, 1514.0, 333000, 300000 
29, 1524.0, 333000, 300000 
30, 1530.0, 333000, 300000 
31, 1535.0, 333000, 300000 
32, 1558.0, 333000, 300000 
33, 1564.0, 333000, 300000 
34, 1573.0, 333000, 300000 
35, 1574.0, 333000, 300000 
36, 1590.0, 333000, 300000 
37, 1596.0, 333000, 300000 
38, 1598.0, 333000, 300000 
39, 1604.0, 333000, 300000 
40, 1611.0, 333000, 300000 
41, 1612.0, 333000, 300000 
42, 1633.0, 333000, 300000 
43, 1642.0, 333000, 300000 
44, 1644.0, 333000, 300000 
45, 1648.0, 333000, 300000 
46, 1655.0, 333000, 300000 
47, 1679.0, 333000, 300000 
48, 1680.0, 333000, 300000 
49, 1683.0, 333000, 300000 
50, 1684.0, 333000, 300000 
51, 1687.0, 333000, 300000 
52, 1689.0, 333000, 300000 
53, 1690.0, 333000, 300000 
54, 1691.0, 333000, 300000 
55, 1697.0, 333000, 300000 
56, 1699.0, 333000, 300000 
57, 1705.0, 333000, 300000 
58, 1709.0, 333000, 300000 
59, 1711.0, 333000, 300000 
60, 1717.0, 333000, 300000 
61, 1742.0, 333000, 300000 
62, 1814.0, 333000, 300000 
63, 1899.0, 333000, 300000 
64, 1903.0, 333000, 300000 
65, 1904.0, 333000, 300000 
66, 1914.0, 333000, 300000 
67, 1917.0, 333000, 300000 
68, 1976.0, 333000, 300000 
69, 1981.0, 333000, 300000 
70, 1982.0, 333000, 300000 
71, 1987.0, 333000, 300000 
72, 1993.0, 333000, 300000 
73, 1995.0, 333000, 300000 
74, 1999.0, 333000, 300000 
75, 2000.0, 333000, 300000 
76, 2017.0, 333000, 300000 
77, 2021.0, 333000, 300000 
78, 2029.0, 333000, 300000 
79, 2030.0, 333000, 300000 
80, 2063.0, 333000, 300000 
81, 2114.0, 333000, 300000 
82, 2123.0, 333000, 300000 
83, 2144.0, 333000, 300000 
84, 2180.0, 333000, 300000 
85, 2208.0, 333000, 300000 
86, 2250.0, 333000, 300000 
87, 2271.0, 333000, 300000 
88, 2296.0, 333000, 300000 
89, 2312.0, 333000, 300000 
90, 2321.0, 333000, 300000 
91, 2323.0, 333000, 300000 
92, 2352.0, 333000, 300000 
93, 2354.0, 333000, 300000 
94, 2363.0, 333000, 300000 
95, 2374.0, 333000, 300000 
96, 2391.0, 333000, 300000 
97, 2407.0, 333000, 300000 
98, 2419.0, 333000, 300000 
99, 2430.0, 333000, 300000 
100, 2466.0, 333000, 300000 
101, 2473.0, 333000, 300000 
102, 2491.0, 333000, 300000 
103, 2543.0, 333000, 300000 
104, 2567.0, 333000, 300000 
105, 2587.0, 333000, 300000 
106, 2604.0, 333000, 300000 
107, 2628.0, 333000, 300000 
108, 2673.0, 333000, 300000 
109, 2684.0, 333000, 300000 
110, 2685.0, 333000, 300000 
111, 2690.0, 333000, 300000 
112, 2706.0, 333000, 300000 
113, 2710.0, 333000, 300000 
114, 2711.0, 333000, 300000 
115, 2713.0, 333000, 300000 
116, 2723.0, 333000, 300000 
117, 2733.0, 333000, 300000 
118, 2750.0, 333000, 300000 
119, 2756.0, 333000, 300000 
120, 2757.0, 333000, 300000 
121, 2760.0, 333000, 300000 
122, 2761.0, 333000, 300000 
123, 2812.0, 333000, 300000 
124, 2835.0, 333000, 300000 
125, 2841.0, 333000, 300000 
126, 2843.0, 333000, 300000 
127, 2845.0, 333000, 300000 
128, 2849.0, 333000, 300000 
129, 2860.0, 333000, 300000 
130, 3189.0, 333000, 300000 
131, 3251.0, 333000, 300000 
132, 3278.0, 333000, 300000 
133, 3279.0, 333000, 300000 
134, 3283.0, 333000, 300000 
135, 3296.0, 333000, 300000 
136, 3347.0, 333000, 300000 
137, 3353.0, 333000, 300000 
138, 3357.0, 333000, 300000 
139, 3382.0, 333000, 300000 
140, 3433.0, 333000, 300000 
141, 3443.0, 333000, 300000 
142, 3445.0, 333000, 300000 
143, 3510.0, 333000, 300000 
144, 3526.0, 333000, 300000 
145, 3547.0, 333000, 300000 
146, 3560.0, 333000, 300000 
147, 3562.0, 333000, 300000 
148, 3573.0, 333000, 300000 
149, 3577.0, 333000, 300000 
150, 3625.0, 333000, 300000 
